2023-08-03 14:12:07,892 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2023-08-03 14:12:07,938 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2023-08-03 14:12:07,938 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2023-08-03 14:12:07,938 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2023-08-03 14:12:07,986 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2023-08-03 14:12:07,986 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2023-08-03 14:12:08,001 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2023-08-03 14:13:27,736 INFO  SwAddin.cs: 271 - Assembly export called for file AGV ros
2023-08-03 14:13:30,127 INFO  SwAddin.cs: 290 - Saving assembly
2023-08-03 14:13:30,236 INFO  SwAddin.cs: 293 - Opening property manager
2023-08-03 14:13:30,252 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from AGV ros
2023-08-03 14:13:30,266 INFO  ExportHelperExtension.cs: 1142 - Found 45 in AGV ros
2023-08-03 14:13:30,266 INFO  ExportHelperExtension.cs: 1152 - Found 3 features of type [CoordSys] in AGV ros
2023-08-03 14:13:30,266 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2023-08-03 14:13:30,266 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2023-08-03 14:13:30,266 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from wheel-1
2023-08-03 14:13:30,266 INFO  ExportHelperExtension.cs: 1142 - Found 27 in wheel-1
2023-08-03 14:13:30,266 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in wheel-1
2023-08-03 14:13:30,266 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from wheel-2
2023-08-03 14:13:30,266 INFO  ExportHelperExtension.cs: 1142 - Found 27 in wheel-2
2023-08-03 14:13:30,266 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in wheel-2
2023-08-03 14:13:30,266 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from body-1
2023-08-03 14:13:30,266 INFO  ExportHelperExtension.cs: 1142 - Found 30 in body-1
2023-08-03 14:13:30,266 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in body-1
2023-08-03 14:13:30,266 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from AGV ros
2023-08-03 14:13:30,266 INFO  ExportHelperExtension.cs: 1142 - Found 45 in AGV ros
2023-08-03 14:13:30,282 INFO  ExportHelperExtension.cs: 1152 - Found 1 features of type [RefAxis] in AGV ros
2023-08-03 14:13:30,282 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2023-08-03 14:13:30,282 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2023-08-03 14:13:30,282 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from wheel-1
2023-08-03 14:13:30,282 INFO  ExportHelperExtension.cs: 1142 - Found 27 in wheel-1
2023-08-03 14:13:30,282 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in wheel-1
2023-08-03 14:13:30,282 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from wheel-2
2023-08-03 14:13:30,282 INFO  ExportHelperExtension.cs: 1142 - Found 27 in wheel-2
2023-08-03 14:13:30,282 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in wheel-2
2023-08-03 14:13:30,282 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from body-1
2023-08-03 14:13:30,282 INFO  ExportHelperExtension.cs: 1142 - Found 30 in body-1
2023-08-03 14:13:30,282 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in body-1
2023-08-03 14:13:30,548 INFO  SwAddin.cs: 316 - Loading config tree
2023-08-03 14:13:30,563 INFO  ExportPropertyManagerExtension.cs: 597 - Starting new configuration
2023-08-03 14:13:30,563 INFO  SwAddin.cs: 321 - Showing property manager
2023-08-03 14:14:00,126 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-08-03 14:14:27,158 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-08-03 14:14:27,330 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-08-03 14:16:37,564 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-08-03 14:16:45,485 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-08-03 14:17:04,688 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-08-03 14:17:45,673 INFO  ExportPropertyManager.cs: 1078 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-08-03 14:18:55,502 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-08-03 14:19:09,360 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-08-03 14:19:12,626 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-08-03 14:19:14,579 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-08-03 14:19:47,549 INFO  ExportPropertyManager.cs: 456 - Configuration saved
2023-08-03 14:19:47,704 INFO  ExportPropertyManager.cs: 1184 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-08-03 14:20:34,611 INFO  SwAddin.cs: 271 - Assembly export called for file AGV ros
2023-08-03 14:20:34,611 INFO  SwAddin.cs: 276 - Save is required
2023-08-03 14:20:34,611 INFO  SwAddin.cs: 290 - Saving assembly
2023-08-03 14:20:34,751 INFO  SwAddin.cs: 293 - Opening property manager
2023-08-03 14:20:34,767 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from AGV ros
2023-08-03 14:20:34,767 INFO  ExportHelperExtension.cs: 1142 - Found 46 in AGV ros
2023-08-03 14:20:34,767 INFO  ExportHelperExtension.cs: 1152 - Found 3 features of type [CoordSys] in AGV ros
2023-08-03 14:20:34,767 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2023-08-03 14:20:34,767 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2023-08-03 14:20:34,767 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from wheel-1
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1142 - Found 27 in wheel-1
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in wheel-1
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from wheel-2
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1142 - Found 27 in wheel-2
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in wheel-2
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from body-1
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1142 - Found 30 in body-1
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in body-1
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from AGV ros
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1142 - Found 46 in AGV ros
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1152 - Found 1 features of type [RefAxis] in AGV ros
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from wheel-1
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1142 - Found 27 in wheel-1
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in wheel-1
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from wheel-2
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1142 - Found 27 in wheel-2
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in wheel-2
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from body-1
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1142 - Found 30 in body-1
2023-08-03 14:20:34,783 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in body-1
2023-08-03 14:20:34,908 INFO  SwAddin.cs: 316 - Loading config tree
2023-08-03 14:20:34,908 INFO  Serialization.cs: 275 - URDF Configuration found
